timestamp,bfly_Pvwap,bfnx_Pvwap,bnus_Pvwap,btrx_Pvwap,cbse_Pvwap,gmni_Pvwap,itbi_Pvwap,krkn_Pvwap,lmax_Pvwap,okcn_Pvwap,stmp_Pvwap,global_Pvwap
2021-02-24 00:00:00,48006.99039596898,47778.970482210636,47846.76300999496,47861.25278704691,47945.34162358115,47981.711506581254,47772.255561503414,47698.30709998887,47880.95891374631,47954.73390046831,47944.262769916415,49869.86647542789
2021-02-24 01:00:00,49607.92364495946,49441.592937566325,49196.18734572706,49343.26580534457,49317.201370480405,49458.07910136146,49509.69941976302,49179.026876779055,49250.834066918535,49422.816195686246,49220.29973182856,49869.86647542789
2021-02-24 02:00:00,50196.6773034157,50237.00503597238,50200.41431446241,50264.128119589586,50248.89477536265,50268.25996810616,50260.2948971185,50214.502349618095,50227.852912215196,50218.786801689464,50283.555917547645,49869.86647542789
2021-02-24 03:00:00,50948.0,50608.443325100634,50523.29143452103,50528.68430032977,50498.14255772228,50494.39863941809,50533.80290320636,50537.04484068567,50458.46279412244,50435.24377297289,50472.6378165013,49869.86647542789
2021-02-24 04:00:00,50892.80622948516,50889.74329961192,50900.79648079894,50914.28432772169,50942.64652010365,50934.95328556303,51019.75364047287,50917.06083273706,50851.638003941436,51023.20429928833,50987.94170833816,49869.86647542789
2021-02-24 05:00:00,,50344.15227350466,50383.98743382392,50537.35893997185,50513.98924239535,50528.60256969947,50416.28159072186,50421.09204078953,50473.959562787204,50399.45761118534,50440.12489745778,49869.86647542789
2021-02-24 06:00:00,49978.51163194909,49713.51420553922,50046.48648711949,50033.771901164786,49982.465001747194,49935.13589114683,49907.74736691496,49916.10805328067,50061.80832816504,49940.20773501145,49939.78189732183,49869.86647542789
2021-02-24 07:00:00,49680.1,49899.13873564531,49861.581151894396,50032.96347056729,49959.6241690388,50034.858943870386,49944.963421771965,49994.271641249004,49996.28019569155,50030.40051956285,49974.23543802382,49869.86647542789
2021-02-24 08:00:00,50144.20546407331,50629.7185326708,50559.88641250607,50587.218865439856,50541.090693682956,50476.882959497685,50600.26526652525,50545.216767883154,50552.860398304205,50482.659429810985,50594.39444938031,49869.86647542789
2021-02-24 09:00:00,50884.023714285715,50887.4394434336,50842.080627867166,50947.529892816005,50901.00161126688,50901.63906990276,51014.42756441119,50987.73682158994,50934.152165282394,51005.5705856146,50902.70874601408,49869.86647542789
2021-02-24 10:00:00,50536.602040520986,50480.38425372982,50515.86745208448,50665.392921300896,50523.88672136969,50494.32425165445,50588.05438978995,50643.53620764597,50514.76969158259,50564.53946292953,50590.39346404886,49869.86647542789
2021-02-24 11:00:00,50474.184697886136,50494.052136309045,50475.33873254116,50556.41664047737,50498.45521595961,50446.87513867009,50500.79539005851,50523.501577725874,50505.68807687805,50556.75930463858,50480.33847767835,49869.86647542789
2021-02-24 12:00:00,51228.61636363636,50976.88307204419,50870.86340826261,50907.72952953471,50935.790979393365,50932.91305973773,50956.067366250325,50864.09784483363,50918.64149813392,50921.93471473748,50947.570599216066,49869.86647542789
2021-02-24 13:00:00,49681.73485566664,49701.256410977505,49783.0776351151,49839.74213102046,49811.47211934998,49750.21936381706,49790.02843195176,49743.211946406685,49827.03550003907,49953.17058257867,49893.7685402329,49869.86647542789
2021-02-24 14:00:00,49266.087850284406,49233.18858302445,49251.723838001875,49311.92891246965,49293.34646323466,49282.04210015553,49260.06652489745,49223.08528079754,49274.40830598389,49345.87182026101,49236.200292668174,49869.86647542789
2021-02-24 15:00:00,48785.14592816908,49011.13158384018,49258.30686311827,49280.55570842364,49224.856517406755,49249.51326231488,49062.97912267929,49217.787307961225,49324.91376080394,49288.10639380007,49221.752536163316,49869.86647542789
2021-02-24 16:00:00,49645.48359955563,49734.68491180427,49765.87831128293,49805.936931586606,49748.948298806936,49720.09421716924,49749.262595678054,49749.96085967082,49755.5182044975,49824.67968994629,49757.69934507017,49869.86647542789
2021-02-24 17:00:00,49714.24970405236,49788.33850446752,49808.544721705905,49786.37515546383,49813.534997556904,49843.67333691845,49815.87195290561,49842.35009757285,49845.11244113226,49817.802709689815,49847.0505428681,49869.86647542789
2021-02-24 18:00:00,49602.439024390245,49795.62255994425,49795.32577938625,49797.74151397466,49790.60685492835,49796.55087907408,49791.772547311826,49813.09812196333,49796.54779073944,49797.70999640094,49838.075835493284,49869.86647542789
2021-02-24 19:00:00,49191.600563094384,49214.86413229584,49355.10962302468,49257.819346300574,49259.860731840585,49204.72546606463,49411.32784828967,49230.388096648756,49317.07173248651,49343.11445579561,49337.141713596146,49869.86647542789
2021-02-24 20:00:00,48991.42122515472,48895.911946612476,48906.47633517547,48907.00608044599,48922.873466605415,48952.98832426539,48880.346896428324,48964.87122588248,48952.60809188715,48851.20926842712,48927.90736529959,49869.86647542789
2021-02-24 21:00:00,48404.53236740211,48440.911774127846,48485.98060584113,48486.39226797493,48476.87821131461,48526.69720355327,48526.432823930605,48499.380608260006,48518.46203764842,48451.587572144,48509.78428225982,49869.86647542789
2021-02-24 22:00:00,48270.598647026694,48531.10398914662,48549.92544347024,48566.45822810455,48579.1806893231,48650.56540208852,48497.26135680456,48540.34638780107,48645.530586213164,48543.49558754546,48580.63339656995,49869.86647542789
2021-02-24 23:00:00,49610.564199029126,49385.749440435655,49399.63013406116,49488.22486169811,49428.97290287918,49457.50051789584,49493.09779097726,49459.90529202537,49423.471086915386,49568.860667993205,49504.55395187718,49869.86647542789
