timestamp,bfly_std,bfnx_std,bnus_std,btrx_std,cbse_std,gmni_std,itbi_std,krkn_std,lmax_std,okcn_std,stmp_std
2021-02-24 00:00:00,504.2827157934459,559.3989547761987,558.4964832094554,557.7908760779638,525.1541348354516,562.3143738755927,517.7286408647287,423.78236541624443,587.2997847236567,531.868739309451,574.1140140992061
2021-02-24 01:00:00,500.26678773859066,459.5356865776699,443.7933502240541,469.6534265573804,443.309205829984,486.5010624627853,438.7187774894267,472.3557669735664,504.611972604125,429.00126170876723,435.41250606564165
2021-02-24 02:00:00,135.09702079123053,169.20007920938585,178.45903560121016,176.04688949188184,175.48222143233733,181.4829733338673,169.23822541507084,191.76780063125707,169.9266706113204,163.47904091613557,174.30470234712953
2021-02-24 03:00:00,198.47172149332278,244.9391737909286,209.47709958640905,194.43094958857859,216.81769478043788,210.92329444042045,207.2435987469029,234.86949671646707,215.99804627378344,176.2985179954695,207.30869554054755
2021-02-24 04:00:00,161.6559788305584,248.18307666496202,235.4572187580163,233.0112421726654,239.30940970333242,232.135447493299,228.30212483111941,245.57620392545445,279.44622242916296,228.69150793186967,237.5344528008024
2021-02-24 05:00:00,198.47172149332278,274.03251652783325,260.8617601721127,267.43376018085945,257.9491578497227,265.64445923860654,256.58248768833977,257.7580110700198,292.2861875252736,254.28275141506316,233.77378829244086
2021-02-24 06:00:00,120.17050623811086,329.1931053775835,330.91287310986013,325.2818259470192,306.3527373954089,281.98930058574257,311.68197746788087,300.60519422260353,327.98625829257713,284.69807371068106,283.536393723606
2021-02-24 07:00:00,198.47172149332278,218.4668685360708,198.91842519083949,185.6237501395589,191.1864861283803,179.7904218523683,187.73813982047236,199.52641205351244,180.32967260555964,177.4335358804977,185.94903930167868
2021-02-24 08:00:00,361.5261195220441,253.9871028785975,210.18338555002856,224.07293683547135,228.420613947544,232.00486096959142,216.881160614837,228.73954946286094,217.9366381890178,241.59240484923876,225.27943134249634
2021-02-24 09:00:00,27.10516970985241,244.14325707232902,229.4946778010647,264.1115843300079,244.50554500461382,264.9930703613725,250.23404239479694,247.9630158149818,256.4096121867337,241.01401372748364,236.01760591408038
2021-02-24 10:00:00,41.11825932599619,216.14556256377196,221.45005214177826,249.452567134134,204.92708807073157,187.33093713751296,206.54903596602617,219.0751970393268,211.01727072894116,195.6720715473487,223.474809873264
2021-02-24 11:00:00,101.35311105239934,172.09559713451895,163.85625103009704,186.14408027356347,172.95148993419835,183.10457063629238,173.62330570831875,163.56059856290446,178.91620585901515,175.36109291069317,174.40147705471455
2021-02-24 12:00:00,107.26102763818903,220.80253409216337,244.89456666881537,219.43720605220304,226.01859234483837,228.02167738248423,230.79872674122205,228.59744115550242,190.516594358534,216.50612817041485,199.96263290041384
2021-02-24 13:00:00,453.53198949225606,494.1548215721522,485.9390146394921,478.81531029152995,491.19641592818647,437.61791780593387,479.3828180236579,449.5972392850943,486.7327396900318,492.1917138927466,551.2225526991651
2021-02-24 14:00:00,221.71421382759354,247.36024891511738,235.06093511014183,258.42550056530155,237.80763308496378,242.17345468112845,221.16739661249056,245.20130752177127,232.91439568688145,228.55907975599655,233.09014561430928
2021-02-24 15:00:00,286.19423258869404,400.2784384708784,341.4121145565965,348.1644573023695,359.77116021605104,354.1713126866667,348.06928128189884,364.30812766581494,363.0618238426436,353.4553437748029,366.86137210641374
2021-02-24 16:00:00,261.56102664926186,205.89491245092938,187.08370744791262,167.696394706348,162.1980777734068,179.1511836330947,157.12031603841535,188.80787388183066,164.1286623347527,182.45141616610744,167.6487327322208
2021-02-24 17:00:00,32.590913227462536,148.56216530828053,141.60141905043125,126.37244386251089,139.09681673244307,122.23230009517063,130.17824807920854,132.2528307653934,124.2454264692135,138.60560726172568,151.57769996966312
2021-02-24 18:00:00,70.71067811865476,125.74064745874618,138.90750881423526,122.4935953377515,133.25996846422325,136.57346618486125,135.80233838877376,140.65061447633508,137.9366525921801,143.61780628441912,139.56874294237045
2021-02-24 19:00:00,231.5986676497611,238.576913867172,247.61958130620678,254.86529862184355,241.39926851058692,236.49670613403956,241.42231329833152,241.08522487083636,237.22890354569836,236.20532956736173,234.3755993495824
2021-02-24 20:00:00,135.75798517541736,179.26293192874462,169.22516999090269,170.9796550995593,165.76869235075802,162.30576872721664,161.47745784959224,169.68569124641076,175.6956456937377,166.608996338648,172.76590123604038
2021-02-24 21:00:00,167.6196149711505,234.28332927874123,234.17844911314336,234.55904080760257,245.53729165463025,262.4467228602736,245.39667055092931,243.14469935925652,268.9470476677966,261.13650403144595,268.6179676443461
2021-02-24 22:00:00,169.92055483631856,263.5361450360729,222.16380373995534,230.38067593084344,220.5371161673278,237.7877405050673,227.36493627183427,253.34029666184716,214.99746125538564,219.34896068610212,238.35059787382295
2021-02-24 23:00:00,76.86957818279154,198.6606033329879,193.30658319446664,223.1498043955651,212.73637657815166,198.89729239905236,205.26252098141038,212.6321197387338,193.57226863226145,188.94515183223837,197.95599251769787
